originals	tokenized	transliterated
oewŏhŏ	oe w ŏ h ŏ	u w ɔ h ɔ
māāniha	m āā n i h a	m aː n i ç a
maènoe	m a è n oe	m a ɛ n u
bakŏkoĕ kafoekakō	b a k ŏ k o ĕ + k a f oe k a k ō	b a k ɔ k ɔ ə + k a f u k a k oː
bahèdie	b a h è d ie	b a h ɛ d i
kifoea	k i f oe a	k i f u a
èèkowĕ	èè k o w ĕ	ɛː k ɔ w ə
bararau	b a r a r a u	b a r a r a u
bakie ŏfŏ	b a k ie + ŏ f ŏ	b a k i + ɔ f ɔ
wakahadŏ	w a k a h a d ŏ	w a k a h a d ɔ
èhekoe	è h e k oe	ɛ h e k u
pakomakja	p a k o m a k j a	p a k ɔ m a k j a
pakowèh	p a k o w è h	p a k ɔ w ɛ h
māākŏ	m āā k ŏ	m aː k ɔ
abaikĕ	a b a i k ĕ	a b a i k ə
kabakīdjŏ	k a b a k ī dj ŏ	k a b a k iː d͡ʒ ɔ
kiparariŏ	k i p a r a r i ŏ	k i p a r a r i ɔ
èdjie	è dj ie	ɛ d͡ʒ i
èfaŏ(k) wa(k)	è f a ŏ (k) + w a (k)	ɛ f a ɔ ʔ + w a ʔ
abaoekakaj	a b a oe k a k a j	a b a u k a k a j
ĕo(k)oi	ĕ o (k) o i	ə ɔ ʔ ɔ i
bèlo	b è l o	b ɛ l ɔ
èo(k)oi	è o (k) o i	ɛ ɔ ʔ ɔ i
kipŏdŏ	k i p ŏ d ŏ	k i p ɔ d ɔ
ahītŏ(k)	a h ī t ŏ (k)	a h iː t ɔ ʔ
èāfākoe	è ā f ā k oe	ɛ aː f aː k u
èèhè	èè h è	ɛː h ɛ
èfāwāfŏ	è f ā w ā f ŏ	ɛ f aː w aː f ɔ
kaoewa(k)	k a oe w a (k)	k a u w a ʔ
kŏŏda	k ŏŏ d a	k ɔː d a
hŏpanènèĕ	h ŏ p a n è n è ĕ	h ɔ p a n ɛ n ɛ ə
kaaĕ	k aa ĕ	k aː ə
baaĕ	b aa ĕ	b aː ə
kabakè	k a b a k è	k a b a k ɛ
èamaha	è a m a h a	ɛ a m a h a
patăhālè	p a t ă h ā l è	p a t ᾰ h aː l ɛ
ĕèma	ĕ è m a	ə ɛ m a
èa kanapoeĕ	è a + k a n a p oe ĕ	ɛ a + k a n a p u ə
èa kanapoeĕ	è a + k a n a p oe ĕ	ɛ a + k a n a p u ə
èa kanapoeĕ	è a + k a n a p oe ĕ	ɛ a + k a n a p u ə
kadihoekā	k a d i h oe k ā	k a d i ç u k aː
iabahoekā	i a b a h oe k ā	i a b a h u k aː
kīīdōka	k īī d ō k a	k iː d oː k a
èoedafak	è oe d a f a k	ɛ u d a f a k
djako	dj a k o	d͡ʒ a k ɔ
kafoehĕ	k a f oe h ĕ	k a f u h ə
kapoehŏ	k a p oe h ŏ	k a p u h ɔ
kafoehĕ	k a f oe h ĕ	k a f u h ə
kafoehĕ	k a f oe h ĕ	k a f u h ə
kāoewŏ	k ā oe w ŏ	k aː u w ɔ
kĕlèpè	k ĕ l è p è	k ə l ɛ p ɛ
èadoh	è a d o h	ɛ a d ɔ h
kapoehŏ kidai	k a p oe h ŏ + k i d a i	k a p u h ɔ + k i d a i
ĕjoe	ĕ j oe	ə j u
nanaoeni	n a n a oe n i	n a n a u n i
nanaoeni	n a n a oe n i	n a n a u n i
pakoenoejĕ	p a k oe n oe j ĕ	p a k u n u j ə
èoefoe(k)	è oe f oe (k)	ɛ u f u ʔ
piŏnā	p i ŏ n ā	p i ɔ n aː
èla akowĕ	è l a + a k o w ĕ	ɛ l a + a k ɔ w ə
kapoehŏ èoeloe	k a p oe h ŏ + è oe l oe	k a p u h ɔ + ɛ u l u
kapoehŏ èa	k a p oe h ŏ + è a	k a p u h ɔ + ɛ a
ènèĕ	è n è ĕ	ɛ n ɛ ə
ĕkihŏ	ĕ k i h ŏ	ə k i ç ɔ
kifafakoe(k)	k i f a f a k oe (k)	k i f a f a k u ʔ
kamakoewa	k a m a k oe w a	k a m a k u w a
kiŏnŏk	k i ŏ n ŏ k	k i ɔ n ɔ k
kehèko(k)ĕ	k e h è k o (k) ĕ	k e h ɛ k ɔ ʔ ə
kiho(k)ja	k i h o (k) j a	k i ç ɔ ʔ j a
kifarai	k i f a r a i	k i f a r a i
kifalai èbeo	k i f a l a i + è b e o	k i f a l a i + ɛ b e ɔ
kifèhŏdŏ	k i f è h ŏ d ŏ	k i f ɛ h ɔ d ɔ
kakèbara	k a k è b a r a	k a k ɛ b a r a
kakènèbaka	k a k è n è b a k a	k a k ɛ n ɛ b a k a
kipakahariebaka	k i p a k a h a r ie b a k a	k i p a k a h a r i b a k a
kipakahariebaka	k i p a k a h a r ie b a k a	k i p a k a h a r i b a k a
hŏbaoeĕ	h ŏ b a oe ĕ	h ɔ b a u ə
hokŏrŏŏ	h o k ŏ r ŏŏ	h ɔ k ɔ r ɔː
habèlĕk	h a b è l ĕ k	h a b ɛ l ə k
koahaijĕ	k o a h a i j ĕ	k ɔ a h a i j ə
èhāhā(k)	è h ā h ā (k)	ɛ h aː h aː ʔ
èhāhā(k)	è h ā h ā (k)	ɛ h aː h aː ʔ
èhāhā(k)	è h ā h ā (k)	ɛ h aː h aː ʔ
nioennā tīō	n i oe nn ā + t ī ō	n i u nː aː + t iː oː
kapapo ĕ	k a p a p o + ĕ	k a p a p ɔ + ə
èmanī	è m a n ī	ɛ m a n iː
èhōda	è h ō d a	ɛ h oː d a
èmanī	è m a n ī	ɛ m a n iː
èhōda	è h ō d a	ɛ h oː d a
foinana(k)	f o i n a n a (k)	f ɔ i n a n a ʔ
po(k)inamok	p o (k) i n a m o k	p ɔ ʔ i n a m ɔ k
ehaw	e h a w	e h a w
pananamie	p a n a n a m ie	p a n a n a m i
nŏwèk	n ŏ w è k	n ɔ w ɛ k
amiemie	a m ie m ie	a m i m i
ama	a m a	a m a
amana	a m a n a	a m a n a
amana	a m a n a	a m a n a
naè	n a è	n a ɛ
naèna	n a è n a	n a ɛ n a
naèna	n a è n a	n a ɛ n a
èara	è a r a	ɛ a r a
èara manie	è a r a + m a n ie	ɛ a r a + m a n i
èara hōda	è a r a + h ō d a	ɛ a r a + h oː d a
oefoenai	oe f oe n a i	u f u n a i
na(k) poenana	n a (k) + p oe n a n a	n a ʔ + p u n a n a
na(k) poewanahalè	n a (k) + p oe w a n a h a l è	n a ʔ + p u w a n a h a l ɛ
āāoe(k)	āā oe (k)	aː u ʔ
āāoe(k)	āā oe (k)	aː u ʔ
èāāk	è āā k	ɛ aː k
èhai(k)	è h a i (k)	ɛ h a i ʔ
na afoeaa(k)	n a + a f oe aa (k)	n a + a f u aː ʔ
kahaoewĕ	k a h a oe w ĕ	k a h a u w ə
kahaoewĕ	k a h a oe w ĕ	k a h a u w ə
èlahŏ	è l a h ŏ	ɛ l a h ɔ
èara kahaoewĕ	è a r a + k a h a oe w ĕ	ɛ a r a + k a h a u w ə
èdadoe èara	è d a d oe + è a r a	ɛ d a d u + ɛ a r a
lahiboekĕ èara	l a h i b oe k ĕ + è a r a	l a h i b u k ə + ɛ a r a
oewakipăkoekă	oe w a k i p ă k oe k ă	u w a k i p ᾰ k u k ᾰ
dipăkoekă	d i p ă k oe k ă	d i p ᾰ k u k ᾰ
anŏ(k)	a n ŏ (k)	a n ɔ ʔ
kèābāoewā āno(k)	k è ā b ā oe w ā + ā n o (k)	k ɛ aː b aː u w aː + aː n ɔ ʔ
dadoe(k)	d a d oe (k)	d a d u ʔ
èanŏ(k)	è a n ŏ (k)	ɛ a n ɔ ʔ
lahè boewă(k)	l a h è + b oe w ă (k)	l a h ɛ + b u w ᾰ ʔ
èloffo	è l o ff o	ɛ l ɔ fː ɔ
kaoedara	k a oe d a r a	k a u d a r a
kowèk	k o w è k	k ɔ w ɛ k
hantoe	h a n t oe	h a n t u
èkowèk kaoeè	è k o w è k + k a oe è	ɛ k ɔ w ɛ k + k a u ɛ
hantoe	h a n t oe	h a n t u
èkowèk kiŏha	è k o w è k + k i ŏ h a	ɛ k ɔ w ɛ k + k i ɔ h a
ĕhĕla	ĕ h ĕ l a	ə h ə l a
baridaha	b a r i d a h a	b a r i d a h a
pānānahoe	p ā n ā n a h oe	p aː n aː n a h u
pānānahoe	p ā n ā n a h oe	p aː n aː n a h u
pānānahoe	p ā n ā n a h oe	p aː n aː n a h u
èdjiekanafoeĕ bŏdŏ	è dj ie k a n a f oe ĕ + b ŏ d ŏ	ɛ d͡ʒ i k a n a f u ə + b ɔ d ɔ
èhèboe	è h è b oe	ɛ h ɛ b u
èhèboe	è h è b oe	ɛ h ɛ b u
kodāpākāhā	k o d ā p ā k ā h ā	k ɔ d aː p aː k aː h aː
kèkiĕ abŏdō	k è k i ĕ + a b ŏ d ō	k ɛ k i ə + a b ɔ d oː
kodanŏŏ	k o d a n ŏŏ	k ɔ d a n ɔː
kaoewa	k a oe w a	k a u w a
kiŏhā	k i ŏ h ā	k i ɔ h aː
hiārā nŏā	h i ā r ā + n ŏ ā	h i aː r aː + n ɔ aː
èahawĕ	è a h a w ĕ	ɛ a h a w ə
èoebatowè	è oe b a t o w è	ɛ u b a t ɔ w ɛ
èjahakaoewĕ	è j a h a k a oe w ĕ	ɛ j a h a k a u w ə
radja	r a dj a	r a d͡ʒ a
mantri	m a n t r i	m a n t r i
èjahakowèk	è j a h a k o w è k	ɛ j a h a k ɔ w ɛ k
kafoe	k a f oe	k a f u
kipara èbahaoe	k i p a r a + è b a h a oe	k i p a r a + ɛ b a h a u
aoena(k) èbahaoe	a oe n a (k) + è b a h a oe	a u n a ʔ + ɛ b a h a u
pidjaja	p i dj a j a	p i d͡ʒ a j a
kiàkoebai	k i à k oe b a i	k i a k u b a i
kiàkoebai	k i à k oe b a i	k i a k u b a i
èhoukè	è h o u k è	ɛ h ɔ u k ɛ
kidĕhoi	k i d ĕ h o i	k i d ə h ɔ i
paèmŏ	p a è m ŏ	p a ɛ m ɔ
kakau	k a k a u	k a k a u
palahiboewĕ	p a l a h i b oe w ĕ	p a l a h i b u w ə
fakoewĕ	f a k oe w ĕ	f a k u w ə
oekŏ nainĕ	oe k ŏ + n a i n ĕ	u k ɔ + n a i n ə
kiŏmahoe	k i ŏ m a h oe	k i ɔ m a h u
moemahoe	m oe m a h oe	m u m a h u
kŏhaiĕ	k ŏ h a i ĕ	k ɔ h a i ə
paè	p a è	p a ɛ
èhijoe	è h i j oe	ɛ h i j u
pahoemè	p a h oe m è	p a h u m ɛ
kamioe	k a m i oe	k a m i u
èoekoek	è oe k oe k	ɛ u k u k
èobĕ	è o b ĕ	ɛ ɔ b ə
èkŏhŏa(k)	è k ŏ h ŏ a (k)	ɛ k ɔ h ɔ a ʔ
poeroeroedija	p oe r oe r oe d i j a	p u r u r u d i j a
èoekoe	è oe k oe	ɛ u k u
ko(k)èko(k)	k o (k) è k o (k)	k ɔ ʔ ɛ k ɔ ʔ
anèka	a n è k a	a n ɛ k a
èkèo(k)	è k è o (k)	ɛ k ɛ ɔ ʔ
kinŏnŏ	k i n ŏ n ŏ	k i n ɔ n ɔ
èkarobă	è k a r o b ă	ɛ k a r ɔ b ᾰ
èkarobă	è k a r o b ă	ɛ k a r ɔ b ᾰ
èhèja	è h è j a	ɛ h ɛ j a
èhèja	è h è j a	ɛ h ɛ j a
emenaha	e m e n a h a	e m e n a h a
emenaha	e m e n a h a	e m e n a h a
èoekoe(k)	è oe k oe (k)	ɛ u k u ʔ
piefie	p ie f ie	p i f i
èaahai	è aa h a i	ɛ aː h a i
kobarieè	k o b a r ie è	k ɔ b a r i ɛ
koenă(k)	k oe n ă (k)	k u n ᾰ ʔ
pohanoema	p o h a n oe m a	p ɔ h a n u m a
èoewĕhoă	è oe w ĕ h o ă	ɛ u w ə h ɔ ᾰ
klamboe	k l a m b oe	k l a m b u
èoewĕhoă	è oe w ĕ h o ă	ɛ u w ə h ɔ ᾰ
fahoeroe	f a h oe r oe	f a h u r u
lapĕ(k)	l a p ĕ (k)	l a p ə ʔ
tikar	t i k a r	t i k a r
dadŏ èoeloe	d a d ŏ + è oe l oe	d a d ɔ + ɛ u l u
èhŏkŏ èoeloe	è h ŏ k ŏ + è oe l oe	ɛ h ɔ k ɔ + ɛ u l u
èko ĕma	è k o + ĕ m a	ɛ k ɔ + ə m a
èoko ĕ	è o k o + ĕ	ɛ ɔ k ɔ + ə
ĕpo(k)	ĕ p o (k)	ə p ɔ ʔ
èhaĕ	è h a ĕ	ɛ h a ə
èjobie	è j o b ie	ɛ j ɔ b i
eapoeha	e a p oe h a	e a p u h a
èafauje	è a f a u j e	ɛ a f a u j e
pakoehoeĕ	p a k oe h oe ĕ	p a k u h u ə
kahihŏ	k a h i h ŏ	k a h i ç ɔ
kidoeroeka	k i d oe r oe k a	k i d u r u k a
papărie èjobie	p a p ă r ie + è j o b ie	p a p ᾰ r i + ɛ j ɔ b i
kihŏ èjobie	k i h ŏ + è j o b ie	k i ç ɔ + ɛ j ɔ b i
poeroe èjobie	p oe r oe + è j o b ie	p u r u + ɛ j ɔ b i
ŏkŏ	ŏ k ŏ	ɔ k ɔ
èīpo(k)	è ī p o (k)	ɛ iː p ɔ ʔ
èkoewĕ	è k oe w ĕ	ɛ k u w ə
doehoekiĕ(k)	d oe h oe k i ĕ (k)	d u h u k i ə ʔ
janieka	j a n ie k a	j a n i k a
poeroe	p oe r oe	p u r u
ekŏnŏnŏhā	e k ŏ n ŏ n ŏ h ā	e k ɔ n ɔ n ɔ h aː
kidjoearŏjĕ	k i dj oe a r ŏ j ĕ	k i d͡ʒ u a r ɔ j ə
klamboe	k l a m b oe	k l a m b u
èhèkoeĕ	è h è k oe ĕ	ɛ h ɛ k u ə
rarieĕ	r a r ie ĕ	r a r i ə
èfoefoe	è f oe f oe	ɛ f u f u
èpoepoe	è p oe p oe	ɛ p u p u
pahoemè	p a h oe m è	p a h u m ɛ
pahoemè	p a h oe m è	p a h u m ɛ
ōnèkĕ	ō n è k ĕ	oː n ɛ k ə
èkainŏ(k)	è k a i n ŏ (k)	ɛ k a i n ɔ ʔ
mangkŏ(k)	m a ng k ŏ (k)	m a ŋ k ɔ ʔ
tiko	t i k o	t i k ɔ
èau	è a u	ɛ a u
èau	è a u	ɛ a u
èau	è a u	ɛ a u
fèdjie	f è dj ie	f ɛ d͡ʒ i
fèdjie	f è dj ie	f ɛ d͡ʒ i
pakamai	p a k a m a i	p a k a m a i
èkèh	è k è h	ɛ k ɛ h
sendoq	s e n d o q	s e n d ɔ ʔ
sendoq	s e n d o q	s e n d ɔ ʔ
krandjang	k r a n dj a ng	k r a n d͡ʒ a ŋ
krandjang	k r a n dj a ng	k r a n d͡ʒ a ŋ
krandjang	k r a n dj a ng	k r a n d͡ʒ a ŋ
krandjang	k r a n dj a ng	k r a n d͡ʒ a ŋ
krandjang	k r a n dj a ng	k r a n d͡ʒ a ŋ
lampoe	l a m p oe	l a m p u
eajaha(k) jobi	e a j a h a (k) + j o b i	e a j a h a ʔ + j ɔ b i
soemboe	s oe m b oe	s u m b u
mainoe(k)	m a i n oe (k)	m a i n u ʔ
mainoe(k)	m a i n oe (k)	m a i n u ʔ
èoebadiĕ	è oe b a d i ĕ	ɛ u b a d i ə
èoebĕ kain	è oe b ĕ + k a i n	ɛ u b ə + k a i n
foefoe	f oe f oe	f u f u
poeĕda(k)	p oe ĕ d a (k)	p u ə d a ʔ
pahaboehă	p a h a b oe h ă	p a h a b u h ᾰ
gorèng	g o r è ng	g ɔ r ɛ ŋ
pahèkoe	p a h è k oe	p a h ɛ k u
kè	k è	k ɛ
paboehă	p a b oe h ă	p a b u h ᾰ
koenajŏ	k oe n a j ŏ	k u n a j ɔ
èmèhè(k)	è m è h è (k)	ɛ m ɛ h ɛ ʔ
amĕna(k) mèhè(k)	a m ĕ n a (k) + m è h è (k)	a m ə n a ʔ + m ɛ h ɛ ʔ
dŏdŏ mèhè(k)	d ŏ d ŏ + m è h è (k)	d ɔ d ɔ + m ɛ h ɛ ʔ
hèla kibaka	h è l a + k i b a k a	h ɛ l a + k i b a k a
hèla	h è l a	h ɛ l a
eàjo	e à j o	e a j ɔ
èara kihŏ	è a r a + k i h ŏ	ɛ a r a + k i ç ɔ
èpahjoe	è p a h j oe	ɛ p a h j u
èdakŏ	è d a k ŏ	ɛ d a k ɔ
èēja(k)	è ē j a (k)	ɛ eː j a ʔ
bakèkèk	b a k è k è k	b a k ɛ k ɛ k
pakakak	p a k a k a k	p a k a k a k
kadifakoe	k a d i f a k oe	k a d i f a k u
parihoja(k)	p a r i h o j a (k)	p a r i ç ɔ j a ʔ
boeboer	b oe b oe r	b u b u r
kidjie-kidjie	k i dj ie - k i dj ie	k i d͡ʒ i - k i d͡ʒ i
kŏrŏ-kŏrŏ	k ŏ r ŏ - k ŏ r ŏ	k ɔ r ɔ - k ɔ r ɔ
sajoer	s a j oe r	s a j u r
koeŏdŏ	k oe ŏ d ŏ	k u ɔ d ɔ
karāuwā	k a r ā u w ā	k a r aː u w aː
èbājoe	è b ā j oe	ɛ b aː j u
èoefa	è oe f a	ɛ u f a
foeĕhikoe	f oe ĕ h i k oe	f u ə h i k u
kīkī	k ī k ī	k iː k iː
faikiki	f a i k i k i	f a i k i k i
karihā	k a r i h ā	k a r i ç aː
ènŏmŏnŏmŏ	è n ŏ m ŏ n ŏ m ŏ	ɛ n ɔ m ɔ n ɔ m ɔ
èmi(k)ie	è m i (k) ie	ɛ m i ʔ i
èafie	è a f ie	ɛ a f i
kariha oewapŏ	k a r i h a + oe w a p ŏ	k a r i ç a + u w a p ɔ
kariehĕ	k a r ie h ĕ	k a r i ç ə
kalènang	k a l è n a ng	k a l ɛ n a ŋ
èaai	è aa i	ɛ aː i
koeŏdŏ	k oe ŏ d ŏ	k u ɔ d ɔ
kainèk	k a i n è k	k a i n ɛ k
kapīdjoe pīdjoe	k a p ī dj oe + p ī dj oe	k a p iː d͡ʒ u + p iː d͡ʒ u
pakoewok	p a k oe w o k	p a k u w ɔ k
paioeka	p a i oe k a	p a i u k a
pakākāriē(k)	p a k ā k ā r i ē (k)	p a k aː k aː r i eː ʔ
èko(k)ia	è k o (k) i a	ɛ k ɔ ʔ i a
kadīkakālie	k a d ī k a k ā l ie	k a d iː k a k aː l i
èŏkŏ(k)	è ŏ k ŏ (k)	ɛ ɔ k ɔ ʔ
bĕnang	b ĕ n a ng	b ə n a ŋ
ŏpŏ kabŏkĕ	ŏ p ŏ + k a b ŏ k ĕ	ɔ p ɔ + k a b ɔ k ə
èoba kamakŏ	è o b a + k a m a k ŏ	ɛ ɔ b a + k a m a k ɔ
èhiafo	è h i a f o	ɛ h i a f ɔ
koewabŏ	k oe w a b ŏ	k u w a b ɔ
èkaoijŏ	è k a o i j ŏ	ɛ k a ɔ i j ɔ
èbohè	è b o h è	ɛ b ɔ h ɛ
èpiko(k)	è p i k o (k)	ɛ p i k ɔ ʔ
ŏkia èpiko(k)	ŏ k i a + è p i k o (k)	ɔ k i a + ɛ p i k ɔ ʔ
èara èpiko(k)	è a r a + è p i k o (k)	ɛ a r a + ɛ p i k ɔ ʔ
kīāā	k ī āā	k iː aː
bandèra	b a n d è r a	b a n d ɛ r a
pŏŏkie	p ŏŏ k ie	p ɔː k i
pŏŏkie	p ŏŏ k ie	p ɔː k i
pŏŏkie	p ŏŏ k ie	p ɔː k i
èara fŏŏkie	è a r a + f ŏŏ k ie	ɛ a r a + f ɔː k i
afŏŏkie	a f ŏŏ k ie	a f ɔː k i
pabŏrīkī	p a b ŏ r ī k ī	p a b ɔ r iː k iː
fabŏrīkī	f a b ŏ r ī k ī	f a b ɔ r iː k iː
pafoeroe	p a f oe r oe	p a f u r u
wakoeabŏ	w a k oe a b ŏ	w a k u a b ɔ
kapaleàbŏ	k a p a l e à b ŏ	k a p a l e a b ɔ
pŏŏkie	p ŏŏ k ie	p ɔː k i
kekŏrŏ ĕ	k e k ŏ r ŏ + ĕ	k e k ɔ r ɔ + ə
pakèlie	p a k è l ie	p a k ɛ l i
anĕma	a n ĕ m a	a n ə m a
oewa bakŏhāda	oe w a + b a k ŏ h ā d a	u w a + b a k ɔ h aː d a
hamba soeroeh orang	h a m b a + s oe r oe h + o r a ng	h a m b a + s u r u h + ɔ r a ŋ
kīdāhăk	k ī d ā h ă k	k iː d aː h ᾰ k
eŏkŏk	e ŏ k ŏ k	e ɔ k ɔ k
nanīdŏfŏ	n a n ī d ŏ f ŏ	n a n iː d ɔ f ɔ
èfieĕ	è f ie ĕ	ɛ f i ə
koefadĕ	k oe f a d ĕ	k u f a d ə
èbaka pieĕ	è b a k a + p ie ĕ	ɛ b a k a + p i ə
èofoeè	è o f oe è	ɛ ɔ f u ɛ
bariedāha	b a r ie d ā h a	b a r i d aː h a
abako(k)	a b a k o (k)	a b a k ɔ ʔ
kŏ(k)ŏ(k)	k ŏ (k) ŏ (k)	k ɔ ʔ ɔ ʔ
kadŏkŏ	k a d ŏ k ŏ	k a d ɔ k ɔ
hŏboehā(k)	h ŏ b oe h ā (k)	h ɔ b u h aː ʔ
hŏboha(k)	h ŏ b o h a (k)	h ɔ b ɔ h a ʔ
hiebaka	h ie b a k a	h i b a k a
kamoeninŏ	k a m oe n i n ŏ	k a m u n i n ɔ
māājòk	m āā j ò k	m aː j ɔ k
bahèlè	b a h è l è	b a h ɛ l ɛ
èjakŏ	è j a k ŏ	ɛ j a k ɔ
katjang	k a tj a ng	k a t͡ʃ a ŋ
