originals	tokenized	transliterated
èfaŏ(k) wa(k)	è f a ŏ (k) + w a (k)	E f a O ' + w a '
abaoekakaj	a b a oe k a k a j	a b a u k a k a y
ĕo(k)oi	ĕ o (k) o i	ė O ' O i
bèlo	b è l o	b E l O
èo(k)oi	è o (k) o i	E O ' O i
kipŏdŏ	k i p ŏ d ŏ	k i p O d O
ahītŏ(k)	a h ī t ŏ (k)	a h i i t O '
èāfākoe	è ā f ā k oe	E a a f a a k u
èèhè	èè h è	è è h E
èfāwāfŏ	è f ā w ā f ŏ	E f a a w a a f O
kaoewa(k)	k a oe w a (k)	k a u w a '
kŏŏda	k ŏŏ d a	k O O d a
hŏpanènèĕ	h ŏ p a n è n è ĕ	h O p a n E n E ė
kaaĕ	k aa ĕ	k a a ė
baaĕ	b aa ĕ	b a a ė
kabakè	k a b a k è	k a b a k E
èamaha	è a m a h a	E a m a h a
patăhālè	p a t ă h ā l è	p a t ă h a a l E
ĕèma	ĕ è m a	ė E m a
èa kanapoeĕ	è a + k a n a p oe ĕ	E a + k a n a p u ė
èa kanapoeĕ	è a + k a n a p oe ĕ	E a + k a n a p u ė
èa kanapoeĕ	è a + k a n a p oe ĕ	E a + k a n a p u ė
kadihoekā	k a d i h oe k ā	k a d i x u k a a
iabahoekā	i a b a h oe k ā	i a b a h u k a a
kīīdōka	k īī d ō k a	k i i d o o k a
èoedafak	è oe d a f a k	E u d a f a k
djako	dj a k o	j a k O
kafoehĕ	k a f oe h ĕ	k a f u h ė
kapoehŏ	k a p oe h ŏ	k a p u h O
kafoehĕ	k a f oe h ĕ	k a f u h ė
kafoehĕ	k a f oe h ĕ	k a f u h ė
kāoewŏ	k ā oe w ŏ	k a a u w O
kĕlèpè	k ĕ l è p è	k ė l E p E
èadoh	è a d o h	E a d O h
kapoehŏ kidai	k a p oe h ŏ + k i d a i	k a p u h O + k i d a i
ĕjoe	ĕ j oe	ė y u
nanaoeni	n a n a oe n i	n a n a u n i
nanaoeni	n a n a oe n i	n a n a u n i
pakoenoejĕ	p a k oe n oe j ĕ	p a k u n u y ė
èoefoe(k)	è oe f oe (k)	E u f u '
piŏnā	p i ŏ n ā	p i O n a a
èla akowĕ	è l a + a k o w ĕ	E l a + a k O w ė
kapoehŏ èoeloe	k a p oe h ŏ + è oe l oe	k a p u h O + E u l u
kapoehŏ èa	k a p oe h ŏ + è a	k a p u h O + E a
ènèĕ	è n è ĕ	E n E ė
ĕkihŏ	ĕ k i h ŏ	ė k i x O
kifafakoe(k)	k i f a f a k oe (k)	k i f a f a k u '
kamakoewa	k a m a k oe w a	k a m a k u w a
kiŏnŏk	k i ŏ n ŏ k	k i O n O k
kehèko(k)ĕ	k e h è k o (k) ĕ	k e h E k O ' ė
kiho(k)ja	k i h o (k) j a	k i x O ' y a
kifarai	k i f a r a i	k i f a r a i
kifalai èbeo	k i f a l a i + è b e o	k i f a l a i + E b e O
kifèhŏdŏ	k i f è h ŏ d ŏ	k i f E h O d O
kakèbara	k a k è b a r a	k a k E b a r a
kakènèbaka	k a k è n è b a k a	k a k E n E b a k a
kipakahariebaka	k i p a k a h a r ie b a k a	k i p a k a h a r i b a k a
kipakahariebaka	k i p a k a h a r ie b a k a	k i p a k a h a r i b a k a
hŏbaoeĕ	h ŏ b a oe ĕ	h O b a u ė
hokŏrŏŏ	h o k ŏ r ŏŏ	h O k O r O O
habèlĕk	h a b è l ĕ k	h a b E l ė k
koahaijĕ	k o a h a i j ĕ	k O a h a i y ė
èhāhā(k)	è h ā h ā (k)	E h a a h a a '
èhāhā(k)	è h ā h ā (k)	E h a a h a a '
èhāhā(k)	è h ā h ā (k)	E h a a h a a '
nioennā tīō	n i oe nn ā + t ī ō	n i u n n a a + t i i o o
kapapo ĕ	k a p a p o + ĕ	k a p a p O + ė
èmanī	è m a n ī	E m a n i i
èhōda	è h ō d a	E h o o d a
èmanī	è m a n ī	E m a n i i
èhōda	è h ō d a	E h o o d a
foinana(k)	f o i n a n a (k)	f O i n a n a '
po(k)inamok	p o (k) i n a m o k	p O ' i n a m O k
ehaw	e h a w	e h a w
pananamie	p a n a n a m ie	p a n a n a m i
nŏwèk	n ŏ w è k	n O w E k
amiemie	a m ie m ie	a m i m i
ama	a m a	a m a
amana	a m a n a	a m a n a
amana	a m a n a	a m a n a
naè	n a è	n a E
naèna	n a è n a	n a E n a
naèna	n a è n a	n a E n a
èara	è a r a	E a r a
èara manie	è a r a + m a n ie	E a r a + m a n i
èara hōda	è a r a + h ō d a	E a r a + h o o d a
oefoenai	oe f oe n a i	u f u n a i
na(k) poenana	n a (k) + p oe n a n a	n a ' + p u n a n a
na(k) poewanahalè	n a (k) + p oe w a n a h a l è	n a ' + p u w a n a h a l E
āāoe(k)	āā oe (k)	a a u '
āāoe(k)	āā oe (k)	a a u '
èāāk	è āā k	E a a k
èhai(k)	è h a i (k)	E h a i '
na afoeaa(k)	n a + a f oe aa (k)	n a + a f u a a '
kahaoewĕ	k a h a oe w ĕ	k a h a u w ė
kahaoewĕ	k a h a oe w ĕ	k a h a u w ė
èlahŏ	è l a h ŏ	E l a h O
èara kahaoewĕ	è a r a + k a h a oe w ĕ	E a r a + k a h a u w ė
èdadoe èara	è d a d oe + è a r a	E d a d u + E a r a
lahiboekĕ èara	l a h i b oe k ĕ + è a r a	l a h i b u k ė + E a r a
oewakipăkoekă	oe w a k i p ă k oe k ă	u w a k i p ă k u k ă
dipăkoekă	d i p ă k oe k ă	d i p ă k u k ă
anŏ(k)	a n ŏ (k)	a n O '
kèābāoewā āno(k)	k è ā b ā oe w ā + ā n o (k)	k E a a b a a u w a a + a a n O '
dadoe(k)	d a d oe (k)	d a d u '
èanŏ(k)	è a n ŏ (k)	E a n O '
lahè boewă(k)	l a h è + b oe w ă (k)	l a h E + b u w ă '
èloffo	è l o ff o	E l O f f O
kaoedara	k a oe d a r a	k a u d a r a
kowèk	k o w è k	k O w E k
hantoe	h a n t oe	h a n t u
èkowèk kaoeè	è k o w è k + k a oe è	E k O w E k + k a u E
hantoe	h a n t oe	h a n t u
èkowèk kiŏha	è k o w è k + k i ŏ h a	E k O w E k + k i O h a
ĕhĕla	ĕ h ĕ l a	ė h ė l a
baridaha	b a r i d a h a	b a r i d a h a
pānānahoe	p ā n ā n a h oe	p a a n a a n a h u
pānānahoe	p ā n ā n a h oe	p a a n a a n a h u
pānānahoe	p ā n ā n a h oe	p a a n a a n a h u
èdjiekanafoeĕ bŏdŏ	è dj ie k a n a f oe ĕ + b ŏ d ŏ	E j i k a n a f u ė + b O d O
èhèboe	è h è b oe	E h E b u
èhèboe	è h è b oe	E h E b u
kodāpākāhā	k o d ā p ā k ā h ā	k O d a a p a a k a a h a a
kèkiĕ abŏdō	k è k i ĕ + a b ŏ d ō	k E k i ė + a b O d o o
kodanŏŏ	k o d a n ŏŏ	k O d a n O O
kaoewa	k a oe w a	k a u w a
kiŏhā	k i ŏ h ā	k i O h a a
hiārā nŏā	h i ā r ā + n ŏ ā	h i a a r a a + n O a a
èahawĕ	è a h a w ĕ	E a h a w ė
èoebatowè	è oe b a t o w è	E u b a t O w E
èjahakaoewĕ	è j a h a k a oe w ĕ	E y a h a k a u w ė
radja	r a dj a	r a j a
mantri	m a n t r i	m a n t r i
èjahakowèk	è j a h a k o w è k	E y a h a k O w E k
kafoe	k a f oe	k a f u
kipara èbahaoe	k i p a r a + è b a h a oe	k i p a r a + E b a h a u
aoena(k) èbahaoe	a oe n a (k) + è b a h a oe	a u n a ' + E b a h a u
pidjaja	p i dj a j a	p i j a y a
kiàkoebai	k i à k oe b a i	k i a k u b a i
kiàkoebai	k i à k oe b a i	k i a k u b a i
èhoukè	è h o u k è	E h O u k E
kidĕhoi	k i d ĕ h o i	k i d ė h O i
paèmŏ	p a è m ŏ	p a E m O
kakau	k a k a u	k a k a u
palahiboewĕ	p a l a h i b oe w ĕ	p a l a h i b u w ė
fakoewĕ	f a k oe w ĕ	f a k u w ė
oekŏ nainĕ	oe k ŏ + n a i n ĕ	u k O + n a i n ė
kiŏmahoe	k i ŏ m a h oe	k i O m a h u
moemahoe	m oe m a h oe	m u m a h u
kŏhaiĕ	k ŏ h a i ĕ	k O h a i ė
paè	p a è	p a E
èhijoe	è h i j oe	E h i y u
pahoemè	p a h oe m è	p a h u m E
kamioe	k a m i oe	k a m i u
èoekoek	è oe k oe k	E u k u k
èobĕ	è o b ĕ	E O b ė
èkŏhŏa(k)	è k ŏ h ŏ a (k)	E k O h O a '
poeroeroedija	p oe r oe r oe d i j a	p u r u r u d i y a
èoekoe	è oe k oe	E u k u
ko(k)èko(k)	k o (k) è k o (k)	k O ' E k O '
anèka	a n è k a	a n E k a
èkèo(k)	è k è o (k)	E k E O '
kinŏnŏ	k i n ŏ n ŏ	k i n O n O
èkarobă	è k a r o b ă	E k a r O b ă
èkarobă	è k a r o b ă	E k a r O b ă
èhèja	è h è j a	E h E y a
èhèja	è h è j a	E h E y a
emenaha	e m e n a h a	e m e n a h a
emenaha	e m e n a h a	e m e n a h a
èoekoe(k)	è oe k oe (k)	E u k u '
piefie	p ie f ie	p i f i
èaahai	è aa h a i	E a a h a i
kobarieè	k o b a r ie è	k O b a r i E
koenă(k)	k oe n ă (k)	k u n ă '
pohanoema	p o h a n oe m a	p O h a n u m a
èoewĕhoă	è oe w ĕ h o ă	E u w ė h O ă
klamboe	k l a m b oe	k l a m b u
èoewĕhoă	è oe w ĕ h o ă	E u w ė h O ă
fahoeroe	f a h oe r oe	f a h u r u
lapĕ(k)	l a p ĕ (k)	l a p ė '
tikar	t i k a r	t i k a r
dadŏ èoeloe	d a d ŏ + è oe l oe	d a d O + E u l u
èhŏkŏ èoeloe	è h ŏ k ŏ + è oe l oe	E h O k O + E u l u
èko ĕma	è k o + ĕ m a	E k O + ė m a
èoko ĕ	è o k o + ĕ	E O k O + ė
ĕpo(k)	ĕ p o (k)	ė p O '
èhaĕ	è h a ĕ	E h a ė
èjobie	è j o b ie	E y O b i
eapoeha	e a p oe h a	e a p u h a
èafauje	è a f a u j e	E a f a u y e
pakoehoeĕ	p a k oe h oe ĕ	p a k u h u ė
kahihŏ	k a h i h ŏ	k a h i x O
kidoeroeka	k i d oe r oe k a	k i d u r u k a
papărie èjobie	p a p ă r ie + è j o b ie	p a p ă r i + E y O b i
kihŏ èjobie	k i h ŏ + è j o b ie	k i x O + E y O b i
poeroe èjobie	p oe r oe + è j o b ie	p u r u + E y O b i
ŏkŏ	ŏ k ŏ	O k O
èīpo(k)	è ī p o (k)	E i i p O '
èkoewĕ	è k oe w ĕ	E k u w ė
doehoekiĕ(k)	d oe h oe k i ĕ (k)	d u h u k i ė '
janieka	j a n ie k a	y a n i k a
poeroe	p oe r oe	p u r u
ekŏnŏnŏhā	e k ŏ n ŏ n ŏ h ā	e k O n O n O h a a
kidjoearŏjĕ	k i dj oe a r ŏ j ĕ	k i j u a r O y ė
klamboe	k l a m b oe	k l a m b u
èhèkoeĕ	è h è k oe ĕ	E h E k u ė
rarieĕ	r a r ie ĕ	r a r i ė
èfoefoe	è f oe f oe	E f u f u
èpoepoe	è p oe p oe	E p u p u
pahoemè	p a h oe m è	p a h u m E
pahoemè	p a h oe m è	p a h u m E
ōnèkĕ	ō n è k ĕ	o o n E k ė
èkainŏ(k)	è k a i n ŏ (k)	E k a i n O '
mangkŏ(k)	m a ng k ŏ (k)	m a n g k O '
tiko	t i k o	t i k O
èau	è a u	E a u
èau	è a u	E a u
èau	è a u	E a u
fèdjie	f è dj ie	f E j i
fèdjie	f è dj ie	f E j i
pakamai	p a k a m a i	p a k a m a i
èkèh	è k è h	E k E h
sendoq	s e n d o q	s e n d O '
sendoq	s e n d o q	s e n d O '
krandjang	k r a n dj a ng	k r a n j a n g
krandjang	k r a n dj a ng	k r a n j a n g
krandjang	k r a n dj a ng	k r a n j a n g
krandjang	k r a n dj a ng	k r a n j a n g
krandjang	k r a n dj a ng	k r a n j a n g
lampoe	l a m p oe	l a m p u
eajaha(k) jobi	e a j a h a (k) + j o b i	e a y a h a ' + y O b i
soemboe	s oe m b oe	s u m b u
mainoe(k)	m a i n oe (k)	m a i n u '
mainoe(k)	m a i n oe (k)	m a i n u '
èoebadiĕ	è oe b a d i ĕ	E u b a d i ė
èoebĕ kain	è oe b ĕ + k a i n	E u b ė + k a i n
foefoe	f oe f oe	f u f u
poeĕda(k)	p oe ĕ d a (k)	p u ė d a '
pahaboehă	p a h a b oe h ă	p a h a b u h ă
gorèng	g o r è ng	g O r E n g
pahèkoe	p a h è k oe	p a h E k u
kè	k è	k E
paboehă	p a b oe h ă	p a b u h ă
koenajŏ	k oe n a j ŏ	k u n a y O
èmèhè(k)	è m è h è (k)	E m E h E '
amĕna(k) mèhè(k)	a m ĕ n a (k) + m è h è (k)	a m ė n a ' + m E h E '
dŏdŏ mèhè(k)	d ŏ d ŏ + m è h è (k)	d O d O + m E h E '
hèla kibaka	h è l a + k i b a k a	h E l a + k i b a k a
hèla	h è l a	h E l a
eàjo	e à j o	e a y O
èara kihŏ	è a r a + k i h ŏ	E a r a + k i x O
èpahjoe	è p a h j oe	E p a h y u
èdakŏ	è d a k ŏ	E d a k O
èēja(k)	è ē j a (k)	E e e y a '
bakèkèk	b a k è k è k	b a k E k E k
pakakak	p a k a k a k	p a k a k a k
kadifakoe	k a d i f a k oe	k a d i f a k u
parihoja(k)	p a r i h o j a (k)	p a r i x O y a '
boeboer	b oe b oe r	b u b u r
kidjie-kidjie	k i dj ie - k i dj ie	k i j i - k i j i
kŏrŏ-kŏrŏ	k ŏ r ŏ - k ŏ r ŏ	k O r O - k O r O
sajoer	s a j oe r	s a y u r
koeŏdŏ	k oe ŏ d ŏ	k u O d O
karāuwā	k a r ā u w ā	k a r a a u w a a
èbājoe	è b ā j oe	E b a a y u
èoefa	è oe f a	E u f a
foeĕhikoe	f oe ĕ h i k oe	f u ė h i k u
kīkī	k ī k ī	k i i k i i
faikiki	f a i k i k i	f a i k i k i
karihā	k a r i h ā	k a r i x a a
ènŏmŏnŏmŏ	è n ŏ m ŏ n ŏ m ŏ	E n O m O n O m O
èmi(k)ie	è m i (k) ie	E m i ' i
èafie	è a f ie	E a f i
kariha oewapŏ	k a r i h a + oe w a p ŏ	k a r i x a + u w a p O
kariehĕ	k a r ie h ĕ	k a r i x ė
kalènang	k a l è n a ng	k a l E n a n g
èaai	è aa i	E a a i
koeŏdŏ	k oe ŏ d ŏ	k u O d O
kainèk	k a i n è k	k a i n E k
kapīdjoe pīdjoe	k a p ī dj oe + p ī dj oe	k a p i i j u + p i i j u
pakoewok	p a k oe w o k	p a k u w O k
paioeka	p a i oe k a	p a i u k a
pakākāriē(k)	p a k ā k ā r i ē (k)	p a k a a k a a r i e e '
èko(k)ia	è k o (k) i a	E k O ' i a
kadīkakālie	k a d ī k a k ā l ie	k a d i i k a k a a l i
èŏkŏ(k)	è ŏ k ŏ (k)	E O k O '
bĕnang	b ĕ n a ng	b ė n a n g
ŏpŏ kabŏkĕ	ŏ p ŏ + k a b ŏ k ĕ	O p O + k a b O k ė
èoba kamakŏ	è o b a + k a m a k ŏ	E O b a + k a m a k O
èhiafo	è h i a f o	E h i a f O
koewabŏ	k oe w a b ŏ	k u w a b O
èkaoijŏ	è k a o i j ŏ	E k a O i y O
èbohè	è b o h è	E b O h E
èpiko(k)	è p i k o (k)	E p i k O '
ŏkia èpiko(k)	ŏ k i a + è p i k o (k)	O k i a + E p i k O '
èara èpiko(k)	è a r a + è p i k o (k)	E a r a + E p i k O '
kīāā	k ī āā	k i i a a
bandèra	b a n d è r a	b a n d E r a
pŏŏkie	p ŏŏ k ie	p O O k i
pŏŏkie	p ŏŏ k ie	p O O k i
pŏŏkie	p ŏŏ k ie	p O O k i
èara fŏŏkie	è a r a + f ŏŏ k ie	E a r a + f O O k i
afŏŏkie	a f ŏŏ k ie	a f O O k i
pabŏrīkī	p a b ŏ r ī k ī	p a b O r i i k i i
fabŏrīkī	f a b ŏ r ī k ī	f a b O r i i k i i
pafoeroe	p a f oe r oe	p a f u r u
wakoeabŏ	w a k oe a b ŏ	w a k u a b O
kapaleàbŏ	k a p a l e à b ŏ	k a p a l e a b O
pŏŏkie	p ŏŏ k ie	p O O k i
kekŏrŏ ĕ	k e k ŏ r ŏ + ĕ	k e k O r O + ė
pakèlie	p a k è l ie	p a k E l i
anĕma	a n ĕ m a	a n ė m a
oewa bakŏhāda	oe w a + b a k ŏ h ā d a	u w a + b a k O h a a d a
hamba soeroeh orang	h a m b a + s oe r oe h + o r a ng	h a m b a + s u r u h + O r a n g
kīdāhăk	k ī d ā h ă k	k i i d a a h ă k
eŏkŏk	e ŏ k ŏ k	e O k O k
nanīdŏfŏ	n a n ī d ŏ f ŏ	n a n i i d O f O
èfieĕ	è f ie ĕ	E f i ė
koefadĕ	k oe f a d ĕ	k u f a d ė
èbaka pieĕ	è b a k a + p ie ĕ	E b a k a + p i ė
èofoeè	è o f oe è	E O f u E
bariedāha	b a r ie d ā h a	b a r i d a a h a
abako(k)	a b a k o (k)	a b a k O '
kŏ(k)ŏ(k)	k ŏ (k) ŏ (k)	k O ' O '
kadŏkŏ	k a d ŏ k ŏ	k a d O k O
hŏboehā(k)	h ŏ b oe h ā (k)	h O b u h a a '
hŏboha(k)	h ŏ b o h a (k)	h O b O h a '
hiebaka	h ie b a k a	h i b a k a
kamoeninŏ	k a m oe n i n ŏ	k a m u n i n O
māājòk	m āā j ò k	m a a y O k
bahèlè	b a h è l è	b a h E l E
èjakŏ	è j a k ŏ	E y a k O
katjang	k a tj a ng	k a c a n g
èhoewè	è h oe w è	E h u w E
kinioenŏ	k i n i oe n ŏ	k i n i u n O
kamakoe	k a m a k oe	k a m a k u
èamaijŏ	è a m a i j ŏ	E a m a i y O
ebae	e b a e	e b a e
kikoha(k)	k i k o h a (k)	k i k O h a '
pokèo	p o k è o	p O k E O
kārādi	k ā r ā d i	k a a r a a d i
oedŏfŏ	oe d ŏ f ŏ	u d O f O
kidjie-kidjie	k i dj ie - k i dj ie	k i j i - k i j i
karahadirĕ èpo(k)	k a r a h a d i r ĕ + è p o (k)	k a r a h a d i r ė + E p O '
èhoewè èpo(k)	è h oe w è + è p o (k)	E h u w E + E p O '
èŏrŏjĕ aero èpo(k)	è ŏ r ŏ j ĕ + a e r o + è p o (k)	E O r O y ė + a e r O + E p O '
èapo(k)	è a p o (k)	E a p O '
èfiak èpo(k)	è f i a k + è p o (k)	E f i a k + E p O '
minoe minoe	m i n oe + m i n oe	m i n u + m i n u
mènŏ	m è n ŏ	m E n O
mènŏ	m è n ŏ	m E n O
goela	g oe l a	g u l a
dadă oeloe	d a d ă + oe l oe	d a d ă + u l u
inima	i n i m a	i n i m a
èŏkiŏ	è ŏ k i ŏ	E O k i O
èhŏboe	è h ŏ b oe	E h O b u
èhŏboe	è h ŏ b oe	E h O b u
èietŏ	è ie t ŏ	E i t O
èkèĕ	è k è ĕ	E k E ė
èkèĕ	è k è ĕ	E k E ė
èŏdoe	è ŏ d oe	E O d u
kanŏwa(k)	k a n ŏ w a (k)	k a n O w a '
kinŏnŏ	k i n ŏ n ŏ	k i n O n O
èfainŏ	è f a i n ŏ	E f a i n O
èhiehie	è h ie h ie	E h i x i
abèha	a b è h a	a b E h a
kahamoemoe	k a h a m oe m oe	k a h a m u m u
kāràdi ĕ	k ā r à d i + ĕ	k a a r a d i + ė
èpoehĕ	è p oe h ĕ	E p u h ė
èpoehĕ	è p oe h ĕ	E p u h ė
èpoehĕ	è p oe h ĕ	E p u h ė
èko(k)	è k o (k)	E k O '
èafodiĕ	è a f o d i ĕ	E a f O d i ė
èkoena	è k oe n a	E k u n a
eàfŏ kabŏrie	e à f ŏ + k a b ŏ r ie	e a f O + k a b O r i
eàfŏdi ĕ	e à f ŏ d i + ĕ	e a f O d i + ė
èba	è b a	E b a
èfoenoe	è f oe n oe	E f u n u
kihoedŏ	k i h oe d ŏ	k i x u d O
èoelie	è oe l ie	E u l i
èbo kārăha(k) diĕ	è b o + k ā r ă h a (k) + d i ĕ	E b O + k a a r ă h a ' + d i ė
èbèdiĕ	è b è d i ĕ	E b E d i ė
èfīdjoe	è f ī dj oe	E f i i j u
èoefĕ	è oe f ĕ	E u f ė
mŏnŏ èoepĕ	m ŏ n ŏ + è oe p ĕ	m O n O + E u p ė
foeroekoewĕ	f oe r oe k oe w ĕ	f u r u k u w ė
kŏfiefie	k ŏ f ie f ie	k O f i f i
kakĕlèha	k a k ĕ l è h a	k a k ė l E h a
èpfoejĕ	è p f oe j ĕ	E p f u y ė
kafèfo	k a f è f o	k a f E f O
èhoewa	è h oe w a	E h u w a
èoelie hoewĕdiĕ	è oe l ie + h oe w ĕ d i ĕ	E u l i + h u w ė d i ė
èhoewè	è h oe w è	E h u w E
èhèla	è h è l a	E h E l a
èoek	è oe k	E u k
minjak	m i nj a k	m i ñ a k
ŏwahŏdā	ŏ w a h ŏ d ā	O w a h O d a a
èiefoe akŏmā	è ie f oe + a k ŏ m ā	E i f u + a k O m a a
ijahŏmā	i j a h ŏ m ā	i y a h O m a a
ŏwahŏdā	ŏ w a h ŏ d ā	O w a h O d a a
èiefoe akŏmā	è ie f oe + a k ŏ m ā	E i f u + a k O m a a
ijahŏmā	i j a h ŏ m ā	i y a h O m a a
kahakoewak	k a h a k oe w a k	k a h a k u w a k
kahioe	k a h i oe	k a h i u
kahŏmè	k a h ŏ m è	k a h O m E
kifŏ kifŏ	k i f ŏ + k i f ŏ	k i f O + k i f O
